startup,industry,subvertical,city,investors,round,amount,date,year,month
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,1.65,2023-04-19,2023,4
Groww,Media,Streaming,Bengaluru,IFC,Seed,13.84,2025-01-28,2025,1
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,315.83,2021-03-14,2021,3
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,3.78,2023-09-11,2023,9
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,0.74,2024-01-31,2024,1
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,1.19,2021-07-24,2021,7
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,0.51,2023-01-12,2023,1
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,4081.28,2025-01-22,2025,1
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,3.81,2023-11-27,2023,11
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,295.56,2020-05-04,2020,5
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,0.45,2020-05-19,2020,5
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,7.74,2023-04-10,2023,4
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,5.64,2023-10-07,2023,10
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,3.1,2020-07-23,2020,7
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,1261.54,2024-12-05,2024,12
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,13.64,2024-07-10,2024,7
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,1672.33,2024-02-29,2024,2
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,34.38,2025-01-28,2025,1
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,0.45,2024-04-28,2024,4
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,93.05,2023-02-22,2023,2
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,43.52,2022-05-30,2022,5
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,0.7,2021-05-26,2021,5
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,0.1,2021-04-29,2021,4
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,447.69,2022-04-23,2022,4
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,2.23,2025-02-23,2025,2
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,7.51,2024-11-05,2024,11
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,0.86,2020-02-26,2020,2
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,2.76,2022-06-08,2022,6
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,0.24,2021-01-24,2021,1
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,0.92,2020-05-23,2020,5
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,223.67,2021-10-30,2021,10
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,13.17,2021-09-08,2021,9
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,49.7,2022-08-10,2022,8
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,576.26,2021-08-04,2021,8
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,14.62,2021-02-11,2021,2
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,5.34,2023-07-13,2023,7
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,378.75,2021-03-24,2021,3
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,0.6,2022-08-09,2022,8
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,4.01,2025-01-31,2025,1
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,546.72,2022-12-03,2022,12
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,0.65,2021-10-16,2021,10
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,2.6,2021-11-08,2021,11
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,449.2,2024-04-16,2024,4
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,516.39,2023-01-23,2023,1
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,85.04,2024-06-22,2024,6
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,49.92,2023-09-19,2023,9
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,1.31,2021-11-01,2021,11
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,2.83,2020-06-16,2020,6
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,3.12,2021-02-12,2021,2
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,0.82,2022-08-10,2022,8
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,14.84,2020-02-22,2020,2
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,67.72,2024-08-28,2024,8
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,13.28,2022-05-27,2022,5
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,496.05,2024-08-24,2024,8
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,41.91,2024-02-06,2024,2
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,2015.19,2023-03-13,2023,3
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,1.02,2021-06-13,2021,6
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,0.85,2022-04-12,2022,4
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,0.49,2021-03-29,2021,3
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,1.38,2024-03-07,2024,3
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,1.74,2024-03-01,2024,3
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,1.13,2022-12-10,2022,12
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,1.12,2022-12-29,2022,12
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,111.59,2024-03-21,2024,3
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,1.17,2021-06-01,2021,6
